title,text,summary,url,published_at,category,source
Доля рубля в торговле со Европой достигла исторического максимума,Доля рубля в торговле со Европой достигла исторического максимума,Доля рубля в торговле со Европой достигла исторического максимума,https://ria.ru/20260317/rubl-2081281667.html,2026-03-17 15:39:22,Лента новостей,parsed_rss:ria
Трамп раскритиковал страны НАТО за отказ поддержать операцию против Ирана,Трамп раскритиковал страны НАТО за отказ поддержать операцию против Ирана,Трамп раскритиковал страны НАТО за отказ поддержать операцию против Ирана,https://ria.ru/20260317/tramp-2081281444.html,2026-03-17 15:36:36,Лента новостей,parsed_rss:ria
"Посол КНР в России отреагировал на идею ""Второго китайского шока""","Посол КНР в России отреагировал на идею ""Второго китайского шока""","Посол КНР в России отреагировал на идею ""Второго китайского шока""",https://ria.ru/20260317/kitay-2081281275.html,2026-03-17 15:36:14,Лента новостей,parsed_rss:ria
Фидан обсудил с Лавровым возможный вклад Турции в переговоры по Украине,Фидан обсудил с Лавровым возможный вклад Турции в переговоры по Украине,Фидан обсудил с Лавровым возможный вклад Турции в переговоры по Украине,https://ria.ru/20260317/ukraina-2081281084.html,2026-03-17 15:35:56,Лента новостей,parsed_rss:ria
Фидан: Турция готова организовать переговоры по Украине в ближайшее время,Фидан: Турция готова организовать переговоры по Украине в ближайшее время,Фидан: Турция готова организовать переговоры по Украине в ближайшее время,https://ria.ru/20260317/turtsiya-2081280991.html,2026-03-17 15:35:55,Лента новостей,parsed_rss:ria
В Подмосковье рассказали о подготовке к паводкам в регионе,В Подмосковье рассказали о подготовке к паводкам в регионе,В Подмосковье рассказали о подготовке к паводкам в регионе,https://ria.ru/20260317/pavodok-2081280811.html,2026-03-17 15:35:51,Лента новостей,parsed_rss:ria
В Дагестане задержали экс-главу минстроя Сулейманова,В Дагестане задержали экс-главу минстроя Сулейманова,В Дагестане задержали экс-главу минстроя Сулейманова,https://ria.ru/20260317/dagestan-2081280665.html,2026-03-17 15:35:40,Лента новостей,parsed_rss:ria
Зеленский опоздал на встречу со Стармером,Зеленский опоздал на встречу со Стармером,Зеленский опоздал на встречу со Стармером,https://ria.ru/20260317/zelenskij-2081280487.html,2026-03-17 15:34:44,Лента новостей,parsed_rss:ria
Пропавших в Твери детей объявили в федеральный розыск,Пропавших в Твери детей объявили в федеральный розыск,Пропавших в Твери детей объявили в федеральный розыск,https://ria.ru/20260317/deti-2081280050.html,2026-03-17 15:32:39,Лента новостей,parsed_rss:ria
Арестованную за поджог гумпункта в Петербурге внесли в список террористов,Арестованную за поджог гумпункта в Петербурге внесли в список террористов,Арестованную за поджог гумпункта в Петербурге внесли в список террористов,https://ria.ru/20260317/peterburg-2081279887.html,2026-03-17 15:31:58,Лента новостей,parsed_rss:ria
Глава NORTHCOM назвал Россию противником с наибольшими возможностями,Глава NORTHCOM назвал Россию противником с наибольшими возможностями,Глава NORTHCOM назвал Россию противником с наибольшими возможностями,https://ria.ru/20260317/ssha-2081279581.html,2026-03-17 15:30:45,Лента новостей,parsed_rss:ria
В Брянской области дроны ВСУ повредили гражданский автомобиль,В Брянской области дроны ВСУ повредили гражданский автомобиль,В Брянской области дроны ВСУ повредили гражданский автомобиль,https://ria.ru/20260317/vsu-2081279456.html,2026-03-17 15:29:52,Лента новостей,parsed_rss:ria
"Франция провела учения, имитирующие ядерный удар, пишут СМИ","Франция провела учения, имитирующие ядерный удар, пишут СМИ","Франция провела учения, имитирующие ядерный удар, пишут СМИ",https://ria.ru/20260317/ucheniya-2081279292.html,2026-03-17 15:28:57,Лента новостей,parsed_rss:ria
"Более чем в 55 парках Подмосковья пройдет мероприятие ""Крымская весна""","Более чем в 55 парках Подмосковья пройдет мероприятие ""Крымская весна""","Более чем в 55 парках Подмосковья пройдет мероприятие ""Крымская весна""",https://ria.ru/20260317/podmoskove-2081278789.html,2026-03-17 15:27:01,Лента новостей,parsed_rss:ria
Минюст предложил добавить новые профессии осужденным в СИЗО,Минюст предложил добавить новые профессии осужденным в СИЗО,Минюст предложил добавить новые профессии осужденным в СИЗО,https://ria.ru/20260317/minyust-2081278458.html,2026-03-17 15:25:21,Лента новостей,parsed_rss:ria
"В Москве пьяный подросток разбил окно в ""Иволге"" на Ярославском вокзале","В Москве пьяный подросток разбил окно в ""Иволге"" на Ярославском вокзале","В Москве пьяный подросток разбил окно в ""Иволге"" на Ярославском вокзале",https://ria.ru/20260317/podrostok-2081278321.html,2026-03-17 15:25:20,Лента новостей,parsed_rss:ria
Макрон призвал не расширять военную миссию ЕС в Красном море,Макрон призвал не расширять военную миссию ЕС в Красном море,Макрон призвал не расширять военную миссию ЕС в Красном море,https://ria.ru/20260317/makron-2081278148.html,2026-03-17 15:25:18,Лента новостей,parsed_rss:ria
"Иран сохраняет способность к ответным атакам, считают в США","Иран сохраняет способность к ответным атакам, считают в США","Иран сохраняет способность к ответным атакам, считают в США",https://ria.ru/20260317/iran-2081277964.html,2026-03-17 15:25:00,Лента новостей,parsed_rss:ria
СК раскрыл подробности убийства мальчика в Подмосковье,СК раскрыл подробности убийства мальчика в Подмосковье,СК раскрыл подробности убийства мальчика в Подмосковье,https://ria.ru/20260317/malchik-2081277230.html,2026-03-17 15:21:20,Лента новостей,parsed_rss:ria
В Липецке экс-министра спорта заподозрили в мошенничестве,В Липецке экс-министра спорта заподозрили в мошенничестве,В Липецке экс-министра спорта заподозрили в мошенничестве,https://ria.ru/20260317/lipetsk-2081277077.html,2026-03-17 15:20:51,Лента новостей,parsed_rss:ria
Макрон: Франция не примет участие в операции по открытию Ормузского пролива,Макрон: Франция не примет участие в операции по открытию Ормузского пролива,Макрон: Франция не примет участие в операции по открытию Ормузского пролива,https://ria.ru/20260317/frantsiya-2081276919.html,2026-03-17 15:19:53,Лента новостей,parsed_rss:ria
Дело экс-губернатора Челябинской области направили в суд,Дело экс-губернатора Челябинской области направили в суд,Дело экс-губернатора Челябинской области направили в суд,https://ria.ru/20260317/delo-2081276831.html,2026-03-17 15:19:41,Лента новостей,parsed_rss:ria
"В Удмуртии опровергли информацию о волонтерах, выгнанных на улицу","В Удмуртии опровергли информацию о волонтерах, выгнанных на улицу","В Удмуртии опровергли информацию о волонтерах, выгнанных на улицу",https://ria.ru/20260317/udmurtija-2081276475.html,2026-03-17 15:18:32,Лента новостей,parsed_rss:ria
Российский фигурист будет выступать под флагом Германии,Российский фигурист будет выступать под флагом Германии,Российский фигурист будет выступать под флагом Германии,https://ria.ru/20260317/rodiny-2081276340.html,2026-03-17 15:18:08,Лента новостей,parsed_rss:ria
Представитель России в ООН призвал США возобновить диалог с Ираном,Представитель России в ООН призвал США возобновить диалог с Ираном,Представитель России в ООН призвал США возобновить диалог с Ираном,https://ria.ru/20260317/oon-2081276071.html,2026-03-17 15:16:43,Лента новостей,parsed_rss:ria
В Британии заявили о возможном росте инфляции из-за ситуации в Иране,В Британии заявили о возможном росте инфляции из-за ситуации в Иране,В Британии заявили о возможном росте инфляции из-за ситуации в Иране,https://ria.ru/20260317/eskalatsija-2081275839.html,2026-03-17 15:15:28,Лента новостей,parsed_rss:ria
Новые технологии повысят эффективность грузоперевозок на Восточном полигоне,Новые технологии повысят эффективность грузоперевозок на Восточном полигоне,Новые технологии повысят эффективность грузоперевозок на Восточном полигоне,https://ria.ru/20260317/gruzoperevozki-2081275600.html,2026-03-17 15:13:43,Лента новостей,parsed_rss:ria
В Подмосковье в квартире нашли тело убитого мальчика,В Подмосковье в квартире нашли тело убитого мальчика,В Подмосковье в квартире нашли тело убитого мальчика,https://ria.ru/20260317/kvartira-2081275274.html,2026-03-17 15:11:25,Лента новостей,parsed_rss:ria
Суд продлил домашний арест главреду Baza Трифонову и продюсеру Лукьяновой,Суд продлил домашний арест главреду Baza Трифонову и продюсеру Лукьяновой,Суд продлил домашний арест главреду Baza Трифонову и продюсеру Лукьяновой,https://ria.ru/20260317/sud-2081274950.html,2026-03-17 15:10:56,Лента новостей,parsed_rss:ria
Дипломат рассказал о работе по запуску генконсульства России в Самарканде,Дипломат рассказал о работе по запуску генконсульства России в Самарканде,Дипломат рассказал о работе по запуску генконсульства России в Самарканде,https://ria.ru/20260317/genkonsulstvo-2081274752.html,2026-03-17 15:10:40,Лента новостей,parsed_rss:ria
В Подмосковье две тысячи домов подключили к газу по соцгазификации,В Подмосковье две тысячи домов подключили к газу по соцгазификации,В Подмосковье две тысячи домов подключили к газу по соцгазификации,https://ria.ru/20260317/podmoskove-2081274624.html,2026-03-17 15:10:01,Лента новостей,parsed_rss:ria
